Estado;Nome;Populacao_Estimada
SP;São Paulo;46300000
MG;Minas Gerais;21600000
RJ;Rio de Janeiro;17500000
BA;Bahia;17500000
PR;Paraná;14900000
RS;Rio Grande do Sul;11300000
PE;Pernambuco;9600000
CE;Ceará;9200000
PA;Pará;9100000
MA;Maranhão;7200000
SC;Santa Catarina;7300000
ES;Espírito Santo;4100000
GO;Goiás;7300000
AM;Amazonas;4300000
AL;Alagoas;3400000
PA;Paraíba;4100000
DF;Distrito Federal;3100000
RN;Rio Grande do Norte;3500000
MT;Mato Grosso;3500000
SE;Sergipe;2300000
PI;Piauí;3300000
AC;Acre;900000
RO;Rondônia;2100000
TO;Tocantins;1600000
AM;Amapá;900000
RR;Roraima;700000
